Area,Intrusion_Name, Length, Danger_Level, Shortest_Dist_Wire, Volume, Date, Start_Point_X,Start_Point_Y,End_Point_X,End_PointvY,POINT-X,POINT-Y,Total_Length
Hegsetfoss,251,3.58,U2,3.63,9.15,8/10/2021,610477.1,7007625.8,610475,7007628.6,610470.8,7007624.9,3.58
Hegsetfoss,252,3.94,U2,3.95,6.78,8/10/2021,610440.6,7007661.3,610436.5,7007663,610437.2,7007656.1,4.5
Hegsetfoss,253,1.75,U2,4.7,0.64,8/10/2021,610427.7,7007666.6,610425.4,7007667.5,610423.2,7007661.1,2.45
Hegsetfoss,254,6.05,U2,3.76,15.87,8/10/2021,610410.4,7007673.6,610404.8,7007675.9,610408.1,7007680.5,6.05
Hegsetfoss,255,1.69,U2,3.88,1.66,8/10/2021,610391,7007681.5,610389.4,7007682.2,610387.3,7007676.7,1.69
Hegsetfoss,256,5.51,U1,2.94,7.04,8/10/2021,610351.8,7007697.5,610345.2,7007700.2,610348.6,7007693.7,7.08
Hegsetfoss,257,13.07,U2,3.51,29.63,8/10/2021,610339.6,7007702.5,610326.6,7007707.8,610333.1,7007710.9,14.02
Hegsetfoss,258,3.4,U2,4.03,6.27,8/10/2021,610317,7007711.8,610313.8,7007713.1,610317.6,7007718,3.4
Hegsetfoss,259,6.52,U2,3.49,8.96,8/10/2021,610306.3,7007716.1,610299.7,7007718.9,610306.3,7007722,7.13
Hegsetfoss,260,13.87,U2,3.81,18.43,8/10/2021,610292.1,7007722,610278.8,7007727.4,610291,7007728.6,14.37
Hegsetfoss,261,1.95,U2,4.33,1.66,8/10/2021,610272.2,7007730.1,610270.4,7007730.8,610269.1,7007724.5,1.95
Hegsetfoss,262,4.48,U2,3.86,9.73,8/10/2021,610253.7,7007737.6,610249.5,7007739.3,610249.2,7007733.7,4.48
Hegsetfoss,263,4.32,U2,4.31,3.97,8/10/2021,610108.1,7007796.2,610104.1,7007797.8,610108.8,7007802.5,4.32
Hegsetfoss,264,11.43,U2,3.18,43.33,8/10/2021,610082.8,7007805.8,610069.6,7007809.8,610070.5,7007804.5,13.77
Hegsetfoss,265,7.57,U3,4.28,4.48,8/10/2021,610064.7,7007811.4,610046,7007817.1,610054.8,7007817.6,19.54
Hegsetfoss,266,7.83,U1,2.73,15.42,8/10/2021,609955.1,7007845.1,609943.5,7007848.7,609944.5,7007843.5,12.15
Hegsetfoss,267,4.79,U2,4.19,5.89,8/10/2021,609929.4,7007853,609924.3,7007854.6,609922.8,7007848.6,5.36
Hegsetfoss,268,0.49,U3,4.81,0.13,8/10/2021,609916.7,7007856.9,609916.3,7007857,609915.9,7007855.2,0.49
Hegsetfoss,269,40.08,U1,2.67,183.68,8/10/2021,609892.9,7007864.2,609853.8,7007876.2,609869.7,7007866.5,40.87
Hegsetfoss,270,6.96,U1,2.4,54.72,8/10/2021,609554.6,7007968.6,609548,7007970.7,609551.8,7007973.1,6.96
Hegsetfoss,271,2.9,U2,3.82,2.5,8/10/2021,609258.6,7008059.5,609255.8,7008060.3,609255.6,7008054.4,2.9
Hegsetfoss,272,18.73,U1,2.84,53.76,8/10/2021,609250.2,7008062.1,609225.9,7008069.6,609241.8,7008069.6,25.47
Hegsetfoss,273,23.14,U1,1.9,78.34,8/10/2021,609207.7,7008075.2,609178.6,7008084.1,609184.9,7008085.9,30.5
Hegsetfoss,274,13.14,U1,1.89,101.82,8/10/2021,608917.8,7008164.5,608905.2,7008168.4,608907.7,7008164,13.14
Hegsetfoss,275,7.08,U3,3.38,15.55,8/10/2021,608836.2,7008189.5,608826.6,7008192.5,608835.7,7008194.1,10.05
